,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Images,Captions,Objects,HSF,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7,SF_8,SF_9,SF_10,SF_11,SF_12,SF_13,SF_14,SF_15,SF_16,SF_17,SF_18,SF_19,SF_20
0,0,0,0,1.jpg,a dog nose to nose with a young girl.',"['girl','dog','car','box','nose']",0.6,0.86043,0.97526,0.95461,0.1434,0.26589,0.96457,0.99401,0.98891,0.16076,0.29807,0.54825,0.09138,0.16942,0.34266,0.61885,0.41227,0.42204,0.05268,0.84211,0.70726
1,1,1,1,2.jpg,a person holding a burnt foot long hotdog.',"['hotdog','ketchup','burger','bear','hand','person']",0.33333,0.16014,0.76977,0.58802,0.02288,0.04643,0.66562,0.94351,0.8887,0.09509,0.19296,0.18102,0.02586,0.05248,0.13576,0.48604,0.15394,0.16558,0.18415,0.88345,0.76349
2,2,2,2,3.jpg,a smiling man and a woman making food.',"['men','women','food','utensils','knife']",0.6,0.63853,0.92796,0.87056,0.10642,0.19732,0.89793,0.98222,0.96728,0.14966,0.27748,0.45842,0.0764,0.14166,0.28651,0.59259,0.34472,0.36772,0.14913,0.85819,0.73707
3,3,3,3,4.jpg,a young boy standing on top of a grass covered field.',"['boy','tree','grass','ball','gloves']",0.8,0.79187,0.96185,0.93043,0.13198,0.2447,0.96335,0.9938,0.98853,0.16056,0.29769,0.66376,0.11063,0.20511,0.36876,0.61839,0.45689,0.48509,0.13874,0.85646,0.73385
4,4,4,4,5.jpg,a person biting into a sandwich while sitting in an off office.',"['man','sandwich','chair','bills','monitor','speaker','office']",0.57143,0.71003,0.9581,0.91035,0.08875,0.19476,0.91956,0.98957,0.97726,0.11494,0.25223,0.46987,0.05873,0.12888,0.29901,0.6013,0.35792,0.37492,0.10579,0.88822,0.75473
5,5,5,5,6.jpg,a cat sitting on the counter at a store.',"['banana','cats','window','sticker']",0.75,0.60021,0.90294,0.84353,0.12004,0.20007,0.90872,0.98104,0.9686,0.18174,0.30291,0.51143,0.10229,0.17048,0.29225,0.59696,0.3598,0.40036,0.2496,0.84992,0.74987
6,6,6,6,7.jpg,a boat filled with lots of vegetables and produce.',"['peas','guava','boat','river']",0.25,0.17257,0.70371,0.55674,0.03451,0.05752,0.71934,0.93624,0.89601,0.14387,0.23978,0.16113,0.03223,0.05371,0.12891,0.51292,0.14257,0.14882,0.10399,0.8208,0.70133
7,7,7,7,8.jpg,a person on a surfboard in the water.',"['person','board','water']",1,0.84618,0.9591,0.9407,0.21154,0.30972,1,1,1,0.25,0.36603,0.84618,0.21154,0.30972,0.42309,0.63212,0.53489,0.57095,0.15382,0.78846,0.69028
8,8,8,8,9.jpg,a couple of people are kicking a ball in a field',"['players','shoes','football','ground']",0.75,0.60137,0.90329,0.84407,0.12027,0.20046,0.90905,0.98111,0.96872,0.18181,0.30302,0.51217,0.10243,0.17072,0.29267,0.59709,0.36032,0.40081,0.24878,0.84976,0.74959
9,9,9,9,10.jpg,a bus and a double decker bus on a road',"['buses','car','road','building']",1,0.79852,0.956,0.92774,0.1597,0.26617,1,1,1,0.2,0.33333,0.79852,0.1597,0.26617,0.39926,0.63212,0.50476,0.55,0.20148,0.8403,0.73383
10,10,10,10,11.jpg,people sitting at a desk using laptop computers.',"['laptops','mugs','people','typewriter','coffee']",0.2,0.05712,0.62058,0.41288,0.00952,0.01765,0.63254,0.92651,0.86803,0.10542,0.19547,0.11282,0.0188,0.03486,0.09402,0.46876,0.10225,0.10669,0.10819,0.85137,0.72442
11,11,11,11,12.jpg,a man standing by the road with a suitcase and backpack.',"['man','cars','backpack','suitcase','road','trees']",0.83333,0.89423,0.98416,0.96811,0.12775,0.25924,0.98459,0.99778,0.99551,0.14066,0.28543,0.75921,0.10846,0.22009,0.41411,0.62641,0.51511,0.53196,0.0747,0.86781,0.73176
12,12,12,12,13.jpg,a person on a court with a tennis racket.',"['men','racket','ball','ground']",1,0.70882,0.93348,0.89162,0.14176,0.23627,1,1,1,0.2,0.33333,0.70882,0.14176,0.23627,0.35441,0.63212,0.44806,0.50777,0.29118,0.85824,0.76373
13,13,13,13,14.jpg,a mother helps her son brush his teeth.',"['boy','mother','brush']",1,0.79796,0.94514,0.92071,0.19949,0.29207,1,1,1,0.25,0.36603,0.79796,0.19949,0.29207,0.39898,0.63212,0.50441,0.54975,0.20204,0.80051,0.70793
14,14,14,14,15.jpg,a man holding an umbrella next to a frozen over fire hydrant.',"['umbrella','cars','snow', 'fire hydrant','road']",0.8,0.72456,0.94772,0.90523,0.12076,0.2239,0.94975,0.99144,0.9842,0.15829,0.29349,0.61823,0.10304,0.19104,0.34346,0.61316,0.42555,0.4611,0.18633,0.86439,0.74856
15,15,15,15,16.jpg,two men playing a game of baseball on a field.',"['players','ball','ground']",1,0.72067,0.92137,0.88701,0.18017,0.26379,1,1,1,0.25,0.36603,0.72067,0.18017,0.26379,0.36034,0.63212,0.45555,0.51358,0.27933,0.81983,0.73621
