,ImageFiles,Show Attend And Tell,Decoupled Novel Object Captioner,Novel Object Captioner,YOLO9000,SAT_YOLO9000_SF,DNOC_YOLO9000_SF,NOC_YOLO9000_SF,SAT_WC,DNOC_WC,NOC_WC,SAT_simil,NOC_simil,DNOC_simil,YOLO_WC,ssd_512_resnet50_v1_voc,ssd_voc,ssd_512_resnet50_v1_coco,ssd_coco,yolo3_darknet53_coco,yolo3_coco,center_net_resnet18_v1b_coco,center_coco,center_net_resnet18_v1b_voc,center_voc,yolo3_darknet53_voc,yolo3_voc,SAT_SSD_VOC_SF,SAT_SSD_COCO_SF,NOC_SSD_VOC_SF,NOC_SSD_COCO_SF,DNOC_SSD_VOC_SF,DNOC_SSD_COCO_SF,SAT_yolo3_VOC_SF,SAT_yolo3_COCO_SF,NOC_yolo3_VOC_SF,NOC_yolo3_COCO_SF,DNOC_yolo3_VOC_SF,DNOC_yolo3_COCO_SF,SAT_center_net_VOC_SF,SAT_center_net_COCO_SF,NOC_center_net_VOC_SF,NOC_center_net_COCO_SF,DNOC_center_net_VOC_SF,DNOC_center_net_COCO_SF,MRCNN,sat_un_count,dnoc_un_count,noc_un_count,mrcnn_un_count,SF_SAT_MRCNN,SF_DNOC_MRCNN,SF_NOC_MRCNN
0,b00000000_21i57n_20150517_212544e.jpg,"['man', 'front', 'table']","['person', 'table', 'person']","['group', 'room']","['microwave', ' vintner', ' jeroboam', ' wineglass', ' wineglass']",0.05326,0.07685,0.00808,3,3,2,0.08876,0.12808,0.02021,5,"['bottle', 'person']",2,"['wine glass', 'wine glass', 'chair', 'bottle', 'person', 'knife', 'knife']",7,"['wine glass', 'person', 'wine glass', 'wine glass', 'bottle']",5,"['wine glass', 'wine glass']",2,['bottle'],1,"['bottle', 'person', 'person']",3,0.57501,0.27843,0.4497,0.13328,0.76415,0.25594,0.59088,0.32541,0.32705,0.169,0.87123,0.30474,0.3937,0.48985,0.24468,0.38114,0.33224,0.39759,"['person', 'wine glass', 'bottle', 'person', 'wine glass', 'dining table', 'bowl', 'bowl', 'person', 'knife', 'cup', 'knife', 'wine glass']",3,2,2,7,0.25218,0.15321,0.01907
1,b00000004_21i57n_20150524_162348e.jpg,['couple'],"['man', 'woman', 'front', 'chair']","['man', 'front', 'window', 'dog']","['umbrella', ' easy chair', ' hairdresser']",0.13312,0.69821,0.57108,1,4,4,0.39937,0.69821,0.57108,3,"['person', 'chair', 'person']",3,"['person', 'person', 'chair', 'umbrella']",4,"['person', 'person', 'person', 'person', 'chair']",5,['person'],1,['chair'],1,"['person', 'chair', 'person']",3,0.13212,0.09934,0.5955,0.60988,0.74863,0.75402,0.13212,0.07955,0.5955,0.46028,0.74863,0.55379,0.22875,0.37888,0.43248,0.51967,0.66753,0.58417,"['person', 'person', 'chair']",1,4,4,2,0.1392,0.88431,0.76792
2,b00000005_21i57n_20150517_212856e.jpg,"['group', 'table']","['man', 'front', 'bottle']","['man', 'restaurant', 'glass', 'wine']","['drunkard', ' magnum', ' sausage dog', ' cereal bowl', ' hairdresser']",0.11996,0.33866,0.50168,2,3,4,0.2999,0.56444,0.6271,5,"['bottle', 'person', 'cat']",3,"['bottle', 'person', 'person', 'wine glass']",4,"['bottle', 'person', 'person', 'bowl', 'wine glass', 'bowl', 'wine glass']",7,"['bottle', 'person']",2,"['person', 'bottle']",2,"['person', 'bottle', 'person']",3,0.28883,0.24413,0.6607,0.85023,0.76525,0.58607,0.28563,0.13687,0.62873,0.49701,0.73141,0.31608,0.40688,0.40688,0.68701,0.68701,0.79617,0.79617,"['person', 'person', 'bottle', 'bottle', 'bowl', 'bowl', 'bottle', 'bottle', 'cell phone', 'wine glass']",2,3,4,5,0.07946,0.53243,0.61708
3,b00000012_21i57n_20150508_080521e.jpg,"['person', 'skateboard', 'street']","['bicycle', 'sidewalk', 'street']","['woman', 'bench', 'bike']",['cellular telephone'],0.23575,0.20796,0.18312,3,3,3,0.23575,0.20796,0.18312,1,"['car', 'car', 'bicycle']",3,"['car', 'car', 'car', 'car', 'potted plant', 'car']",6,"['car', 'car', 'car', 'car', 'truck', 'truck', 'bicycle']",7,"['car', 'car']",2,"['car', 'car']",2,"['car', 'car', 'car', 'car']",4,0.58238,0.24278,0.64102,0.26567,0.65444,0.24815,0.35523,0.2406,0.37959,0.25543,0.35764,0.25598,0.47364,0.47364,0.50612,0.50612,0.47685,0.47685,"['car', 'car', 'car', 'person', 'car', 'bicycle', 'car', 'truck', 'potted plant', 'person', 'car']",3,3,3,5,0.59306,0.542,0.57526
4,b00000015_21i57n_20150524_163119e.jpg,"['man', 'front', 'train']","['group', 'chair']","['man', 'bench', 'front', 'building']","['lawgiver', ' drunkard', ' easy chair']",0.42244,0.26684,0.43504,3,2,4,0.42244,0.40027,0.43504,3,"['person', 'person', 'person']",3,"['person', 'person', 'chair', 'train', 'person', 'person', 'couch']",7,"['person', 'person', 'person', 'person', 'person']",5,"['suitcase', 'person']",2,['person'],1,"['person', 'person', 'person']",3,0.52812,0.29535,0.4715,0.35535,0.26801,0.17521,0.52812,0.31687,0.4715,0.3772,0.26801,0.1608,0.52812,0.58278,0.4715,0.5069,0.40201,0.41005,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']",3,2,4,1,0.80831,0.63404,0.82865
5,b00000022_21i57n_20150524_163611e.jpg,['couple'],"['group', 'street']","['group', 'building']","['backpack', ' peddler', ' marcher', ' settler', ' major', ' juggler', ' waiter']",0.04167,0.09655,0.05456,1,2,2,0.29171,0.33791,0.19097,7,"['person', 'person', 'person', 'person', 'person']",5,"['person', 'person', 'person', 'person', 'person', 'person', 'chair', 'motorcycle']",8,"['person', 'person', 'person', 'person', 'person', 'handbag']",6,"['person', 'person', 'person', 'person']",4,"['person', 'person', 'person', 'person']",4,"['person', 'person', 'person', 'person', 'person', 'person', 'dog', 'person']",8,0.07578,0.05204,0.15816,0.10987,0.16605,0.11778,0.05032,0.06367,0.10247,0.12793,0.10995,0.13946,0.09472,0.09472,0.19771,0.19771,0.20756,0.20756,"['person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'chair', 'bicycle', 'tie', 'bicycle']",1,2,2,5,0.01226,0.12779,0.09399
6,b00000025_21i57n_20150517_213437e.jpg,"['group', 'table']","['man', 'table', 'bottle']","['group', 'table', 'wine', 'glass']","['taster', ' magnum', ' pepperoni pizza', ' wineglass', ' wineglass', ' pepperoni pizza', ' Mexican']",0.05959,0.18804,0.26362,2,3,4,0.20855,0.43875,0.46133,7,"['bottle', 'person', 'person', 'diningtable']",4,"['person', 'bottle', 'wine glass', 'person', 'wine glass', 'cake', 'bowl', 'bowl']",8,"['person', 'bottle', 'wine glass', 'person', 'bowl', 'wine glass', 'cake', 'pizza', 'bowl']",9,"['person', 'person', 'bottle', 'wine glass', 'person']",5,"['bottle', 'person', 'person', 'person']",4,"['bottle', 'person', 'person']",3,0.21422,0.12071,0.56895,0.42182,0.55112,0.30032,0.28563,0.10804,0.56895,0.37209,0.73482,0.26538,0.21426,0.19795,0.52432,0.6112,0.51179,0.47685,"['bottle', 'person', 'person', 'wine glass', 'wine glass', 'bowl', 'bowl', 'pizza', 'oven', 'bowl', 'wine glass', 'bowl', 'dining table']",2,3,4,7,0.03773,0.46111,0.51448
7,b00000029_21i57n_20150517_213631e.jpg,"['living', 'room', 'television', 'television']","['man', 'video', 'game', 'living', 'room']","['group', 'table', 'laptop']","['background', ' exhibitionist', ' liquid crystal display', ' liquid crystal display', ' computer screen', ' studio couch', ' furnishing']",0.32086,0.41567,0.27073,4,5,3,0.56151,0.58194,0.6317,7,"['person', 'tvmonitor', 'sofa']",3,"['couch', 'person', 'person', 'tv']",4,"['person', 'couch', 'person', 'tv']",4,"['person', 'couch']",2,"['person', 'sofa', 'person']",3,['person'],1,0.60034,0.71491,0.58178,0.42855,0.63258,0.71721,0.42542,0.71491,0.41508,0.42855,0.57269,0.71721,0.57249,0.59123,0.5559,0.54771,0.65242,0.66024,"['person', 'couch', 'person', 'traffic light']",3,5,3,3,0.64626,0.77951,0.54771
8,b00000029_21i57n_20150524_164049e.jpg,"['woman', 'room', 'glass']","['woman', 'room', 'chair']","['woman', 'kitchen', 'mirror']","['major', ' furnishing', ' furnishing', ' wing chair', ' gal', ' hairdresser']",0.3132,0.34671,0.32192,3,3,3,0.6264,0.69342,0.64385,6,"['chair', 'person', 'person', 'person', 'person']",5,"['person', 'person', 'chair', 'person', 'person', 'chair']",6,"['person', 'person', 'person', 'chair', 'chair', 'person', 'person', 'chair']",8,"['person', 'person', 'chair']",3,"['person', 'person', 'chair', 'chair']",4,"['person', 'person', 'chair', 'person', 'chair', 'person', 'chair']",7,0.35973,0.31653,0.33065,0.29307,0.42096,0.39124,0.27576,0.23969,0.25663,0.22242,0.35359,0.30112,0.48205,0.63306,0.45028,0.58614,0.63457,0.78248,"['person', 'person', 'chair', 'person', 'chair', 'chair', 'person', 'person', 'person', 'chair', 'chair', 'chair', 'person', 'chair', 'person']",3,3,3,2,0.74477,0.89457,0.71167
9,b00000032_21i57n_20150524_164251e.jpg,"['group', 'table']","['group', 'table']","['woman', 'shirt', 'shirt', 'photo']","['gal', ' lawgiver', ' lawgiver', ' lawgiver', ' entrepreneur', ' reader']",0.00215,0.00215,0.06488,2,2,4,0.00646,0.00646,0.09732,6,"['person', 'person', 'person', 'person', 'person']",5,"['person', 'person', 'person', 'person', 'person', 'person']",6,"['person', 'person', 'person', 'person', 'person']",5,"['person', 'person', 'person', 'person']",4,"['person', 'person', 'person', 'person']",4,"['person', 'person', 'person', 'person', 'person']",5,0.15905,0.13254,0.32795,0.27329,0.15905,0.13254,0.15905,0.15905,0.32795,0.32795,0.15905,0.15905,0.19881,0.19881,0.40994,0.40994,0.19881,0.19881,"['person', 'person', 'person', 'person', 'person', 'chair', 'person']",2,2,3,2,0.5675,0.5675,0.62034
