Images,Captions,Objects,HSF,SF_1,SF_2,SF_3,SF_4
1.jpg,'a dog nose to nose with a young girl.',"['girl','dog','car','box']",0.7,,,,
2.jpg,'a person holding a burnt foot long hotdog.',"['hotdog','ketchup','burger','bear','hand']",0.45,,,,
3.jpg,'a smiling man and a woman making food.',"['men','women','food','utensils','knife']",0.75,,,,
4.jpg,'a young boy standing on top of a grass covered field.',"['boy','tree','grass','ball','gloves']",0.7,,,,
5.jpg,'a person biting into a sandwich while sitting in an off office.',"['man','sandwich','chair','bills','monitor','speaker','office']",0.4,,,,
6.jpg,'a cat sitting on the counter at a store.',"['banana','cats','window','sticker']",0.3,,,,
7.jpg,'a boat filled with lots of vegetables and produce.',"['peas','guava','boat','river']",0.35,,,,
8.jpg,'a person on a surfboard in the water.',"['surfer','board','sea']",0.85,,,,
9.jpg,'a couple of people are kicking a ball in a field',"['players','shoes','football','ground']",0.85,,,,
10.jpg,a bus and a double decker bus on a road',"['buses','car','road','building']",0.6,,,,
11.jpg,'people sitting at a desk using laptop computers.',"['laptops','mugs','people','typewriter','coffee']",0.15,,,,
12.jpg,'a man standing by the road with a suitcase and backpack.',"['man','cars','backpack','suitcase','road','trees']",0.65,,,,
13.jpg,'a person on a court with a tennis racket.',"['men','racket','ball','ground']",0.65,,,,
14.jpg,'a mother helps her son brush his teeth.',"['boy','mother','brush']",1,,,,
15.jpg,'a man holding an umbrella next to a frozen over fire hydrant.',"['umbrella','cars','snow', 'fire hydrant','road']",0.55,,,,
16.jpg,'two men playing a game of baseball on a field.',"['players','ball','ground']",0.85,,,,
17.jpg,'a red tour bus readies itself for departure',"['bus','people','road']",0.6,,,,
18.jpg,'large group of people waiting for a train.',"['people','bus stop','trees']",0.35,,,,
19.jpg,'a young man flipping a skateboard through the air.',"['men','skateboard','road']",0.7,,,,
20.jpg,'the small car is towing a large airplane.',"['aeroplanes','car','road']",0.75,,,,
21.jpg,'a group of people sitting around a restaurant table.',"['people','table','glasses']",0.7,,,,
22.jpg,'a baseball player swinging a bat on top of a field.',"['players','bat','ball','trees','ground']",0.8,,,,
23.jpg,'a girl jumps a horse over an obstacle.',"['girl','horse','ground']",0.8,,,,
24.jpg,'a woman walking with a birthday cake in her hands.',"['women','cake']",0.7,,,,
25.jpg,'a pizza sitting on top of a metal pan.',"['pizza','plates','glass','drink','table','mobile']",0.45,,,,
26.jpg,'the train is going down the tracks by the church.',"['train','builiding','road','forest']",0.6,,,,
27.jpg,'a boy posing in front of a large pizza.',"['boy','pizza']",1,,,,
28.jpg,'a man taking a sip of red wine from a glass',"['man','glass','wine']",1,,,,
29.jpg,'two women sitting on a bench at a park.',"['women','bench','road']",0.8,,,,
30.jpg,'people are skiing together up a snowy hill.',"['people','ski','snowy']",0.9,,,,
31.jpg,'there is a small vintage train on the tracks',"['train','trees','track']",0.7,,,,
32.jpg,'a boy on a skateboard skating on a half pipe',"['boy','skateboard','surface']",0.85,,,,
33.jpg,'a few people standing in sand flying a kite.',"['kite','people','ground']",0.85,,,,
34.jpg,'a man surfing in a big blue ocean',"['man','board','ocean']",0.95,,,,
35.jpg,'one man looks at the camera while another looks away',"['men','tie','sofa','plant']",0.3,,,,
36.jpg,'a group of people that are posing for a picture',"['people','house','trees','bench']",0.35,,,,
37.jpg,'a group of men on a field playing baseball.',"['players','ground','ball']",0.75,,,,
38.jpg,'a little boy plays with a racket and ball.',"['boy','racket','sea','sand','ball','people']",0.5,,,,
